PropHTE (facet),PropModel,HTE,Strength of confounding (x axis),Method (line),Bias (y axis),Variance (y axis)
prop1hte1,prop1,1,0,method1,-75.5477430731755,0.00182385099237244
prop1hte1,prop1,1,1,method1,-75.20999529806366,0.002880061145349329
prop1hte1,prop1,1,2,method1,-75.47243932905575,0.006732704808485239
prop1hte1,prop1,1,0,method2,-75.64144153755201,0.003241856491472402
prop1hte1,prop1,1,1,method2,-75.20805595959055,0.005767323249782249
prop1hte1,prop1,1,2,method2,-75.56163192818181,0.011344191579054265
prop1hte1,prop1,1,0,method3,-75.62530663295078,0.0010252280578160516
prop1hte1,prop1,1,1,method3,-75.25917984593143,0.0020393969195769512
prop1hte1,prop1,1,2,method3,-75.49758862518432,0.004220547325793107
prop1hte0,prop1,0,0,method1,-75.63866985169977,0.0018576386638488563
prop1hte0,prop1,0,1,method1,-75.36645955572286,0.002491484911004005
prop1hte0,prop1,0,2,method1,-75.65717035919806,0.007025524510718145
prop1hte0,prop1,0,0,method2,-75.6650882450287,0.0030232665946651367
prop1hte0,prop1,0,1,method2,-75.40415599971682,0.004499394184163841
prop1hte0,prop1,0,2,method2,-75.74098581206368,0.012287806038880175
prop1hte0,prop1,0,0,method3,-75.63276200599418,9.579576496603288e-4
prop1hte0,prop1,0,1,method3,-75.40347928520069,0.0013971893999565083
prop1hte0,prop1,0,2,method3,-75.67608136920937,0.004283376680127698
prop2hte1,prop2,1,0,method1,-75.395040367751207,0.0018337754242295605
prop2hte1,prop2,1,1,method1,-75.16221664732267,0.0028952564966616217
prop2hte1,prop2,1,2,method1,-75.45156993595714,0.006835630800714416
prop2hte1,prop2,1,0,method2,-75.40999727140162,0.0032096608147437755
prop2hte1,prop2,1,1,method2,-75.13185277876387,0.004870622385691471
prop2hte1,prop2,1,2,method2,-75.25113643090107,0.009607070130247055
prop2hte1,prop2,1,0,method3,-75.4033790616351,0.002457219583041692
prop2hte1,prop2,1,1,method3,-75.00898134867184,0.0038046586652972563
prop2hte1,prop2,1,2,method3,-75.42787954092115,0.009157849544845801
prop2hte0,prop2,0,0,method1,-75.62186635788886,0.001629314285047944
prop2hte0,prop2,0,1,method1,-75.43486719133618,0.0023253545604446165
prop2hte0,prop2,0,2,method1,-75.7267365043767,0.006437106880166831
prop2hte0,prop2,0,0,method2,-75.63151136389155,0.002475157104441777
